"STATEFIP","YEAR","POPULATION","SPHSERVICE","CMPSERVICE","OPISERVICE","RTCSERVICE","IJSSERVICE","Missing","Trauma/Stress-related Disorder","Anxiety Disorder","ADHD","Conduct Disorder","Delirium/Dementia","Bipolar Disorder","Depressive Disorder","Oppositional Defiant Disorder","Pervasive Developmental Disorders","Personality Disorders","Schizophrenia or other Psychotic Disorders","Alcohol/Substance Use Disorders","Other Disorder/Condition","CODE"
"Rhode Island",2015,32061,190,31925,0,0,0,16220,2445,1391,992,406,71,3305,5048,184,120,44,1618,43,174,44
"South Carolina",2015,83286,2014,82466,1,34,185,3173,7964,4955,10122,2253,212,12204,20400,2442,492,850,15051,1844,1324,45
"South Dakota",2015,15928,1834,14309,0,0,2,91,3782,1174,1286,241,227,1882,3857,346,202,7,1788,76,969,46
"Tennessee",2015,115168,8383,113724,2325,58,3,27345,7560,8091,4750,884,325,22418,30436,1124,445,407,9180,1,2202,47
"Texas",2015,348147,13005,346122,13130,227,8,172514,5751,2997,15564,2168,341,52519,59117,1847,624,474,30722,0,3509,48
"Utah",2015,51080,606,50592,1709,711,2710,6634,6171,6693,1455,815,519,7139,12017,945,1422,654,4883,360,1373,49
"Vermont",2015,24580,0,24533,0,881,1,7889,5519,1926,1263,212,60,1406,3485,220,419,98,1139,22,922,50
"Virginia",2015,115824,5398,114426,0,0,1,5959,11820,12738,10229,2892,1106,18506,23891,3210,0,4288,16037,0,5148,51
"Washington",2015,75828,2834,67322,11103,186,14,5007,11500,6743,1817,1116,224,10649,21636,523,148,304,14996,827,338,53
"Wisconsin",2015,72929,5177,70755,2330,2114,10,7401,8208,5760,2603,308,369,10433,14645,428,391,388,10271,828,10896,55
"Wyoming",2015,17798,282,17547,1,0,384,518,3361,2116,1084,441,58,2177,5099,491,209,249,961,0,1034,56
"Puerto Rico",2015,23194,2451,19366,1639,83,1,23053,5,3,58,11,0,3,14,4,9,0,8,8,18,72
"Other Jurisdiction",2015,175,47,154,0,0,0,108,5,2,2,0,1,6,10,0,0,1,14,22,4,99
"Alabama",2016,104320,936,103881,2045,64,1,9787,7153,5682,12736,1837,501,12250,28557,1904,704,305,17307,12,5585,1
"Arizona",2016,187972,219,187713,21647,183,5,12132,27951,22735,17925,2406,111,31853,38082,1469,4370,769,18789,2428,6952,4
"Arkansas",2016,74458,969,73952,2133,368,1,6493,10346,7934,2703,3055,190,7342,20314,1961,100,243,8413,0,5364,5
"California",2016,647328,11652,607872,23558,9398,43758,5142,68442,51859,21057,21283,1821,95943,148604,12367,6207,2859,111051,33670,67023,6
"Colorado",2016,124011,1350,121663,0,998,1,14126,21481,13318,5653,1582,92,11925,29197,1228,286,719,10373,4318,9713,8
"Connecticut",2016,94541,1221,93681,232,1443,2,30541,9590,6779,1968,990,442,10414,17083,946,1174,429,10864,144,3177,9
"Delaware",2016,7456,759,3104,1674,3288,7,977,682,127,230,47,46,1199,1241,150,47,22,1226,1310,152,10
"District of Columbia",2016,35028,636,34627,22,123,0,8831,1736,585,1586,321,28,4307,10699,238,29,31,5183,925,529,11
"Florida",2016,214257,5313,211104,3982,4481,2526,35779,24090,12984,12562,1973,294,32613,55125,1750,499,485,29169,1338,5596,12
"Hawaii",2016,10117,491,9933,210,138,1,723,1603,239,382,237,131,1022,2106,269,21,34,3139,35,176,15
"Idaho",2016,15320,1923,14682,2147,98,1,8042,249,357,174,104,14,1507,1982,175,60,151,1817,3,685,16
"Illinois",2016,78703,6197,72504,0,0,6,61379,1807,1397,983,125,55,2341,2809,266,125,34,3303,265,3814,17
"Indiana",2016,135384,1105,134695,1846,1900,2,322,10311,11844,15374,5344,69,14955,44797,6389,533,754,15606,3,9083,18
"Iowa",2016,115628,662,115392,9915,1066,4,9832,14460,10573,11309,3379,634,13588,36474,3367,1269,408,8045,941,1349,19
"Kentucky",2016,155014,6601,152864,0,0,4,6618,21711,19823,14469,4696,629,18919,37459,4045,4821,1003,10440,5848,4533,21
"Louisiana",2016,34508,1486,33245,1,1,4,10939,967,1506,2045,385,8,4521,7409,335,168,158,4971,0,1096,22
"Maryland",2016,202972,1675,201242,14876,750,6,18077,28084,23608,26093,4034,331,23717,48557,3218,37,334,15449,24,11409,24
"Massachusetts",2016,33921,1758,33204,979,146,1,23865,1425,662,245,10,19,1543,2054,36,94,2,2877,0,1089,25
"Minnesota",2016,259024,2093,257491,22133,3208,9,20261,51213,43596,24463,3709,1497,14357,56208,3022,4786,4850,14932,318,15812,27
"Mississippi",2016,83432,2127,82114,1,197,1,2304,6158,12746,13398,1857,153,9840,18724,3428,739,168,10439,2327,1151,28
"Missouri",2016,76268,1602,74932,177,103,44,7461,1846,8101,5898,339,0,14021,20353,1344,0,540,13138,0,3227,29
"Montana",2016,38476,527,37828,2316,331,1,7370,5906,4408,2093,191,557,3528,7375,1414,1061,477,2408,605,1083,30
"Nebraska",2016,19739,467,17630,3192,24,2,2819,2260,1532,614,84,36,3540,5296,193,62,65,2002,0,1236,31
"Nevada",2016,23945,3714,21464,1,150,1,10084,1505,1569,427,173,52,1128,2058,147,104,559,1967,2878,1294,32
"New Jersey",2016,323392,3663,307486,9720,4718,7,306620,3442,1179,3287,658,8,488,1651,1877,1898,25,112,594,1553,34
"New Mexico",2016,131220,832,120328,11396,796,15,5218,29200,15277,7191,1336,618,8172,21174,1457,1390,247,5138,18327,16475,35
